"ORIGIN NET (mindspore)","TARGET NET (pytorch)"
"","LAYER_features_dense_0_4_bn2"
"NN_BatchNorm2d_10","NN_BatchNorm2d_10"
"Functional_relu_9","Functional_relu_9"
"","LAYER_features_dense_0_4_conv2"
"NN_Conv2d_10","NN_Conv2d_10"
"Functional_concat_4","Torch_cat_4
LAYER_features_dense_0_4
LAYER_features_dense_0_5_bn1"
"NN_BatchNorm2d_11","NN_BatchNorm2d_11"
"Functional_relu_10","Functional_relu_10"
"","LAYER_features_dense_0_5_conv1"
"NN_Conv2d_11","NN_Conv2d_11"
"","LAYER_features_dense_0_5_bn2"
"NN_BatchNorm2d_12","NN_BatchNorm2d_12"
"Functional_relu_11","Functional_relu_11"
"","LAYER_features_dense_0_5_conv2"
"NN_Conv2d_12","NN_Conv2d_12"
"Functional_concat_5","Torch_cat_5
LAYER_features_dense_0_5
LAYER_features_dense_0
LAYER_features_trans_0_bn"
"NN_BatchNorm2d_13","NN_BatchNorm2d_13"
"Functional_relu_12","Functional_relu_12"
"","LAYER_features_trans_0_conv"
"NN_Conv2d_13","NN_Conv2d_13"
"","LAYER_features_trans_0_pool"
"NN_AvgPool2d_0","NN_AvgPool2d_0"
"","LAYER_features_trans_0
LAYER_features_dense_1_0_bn1"
"NN_BatchNorm2d_14","NN_BatchNorm2d_14"
"Functional_relu_13","Functional_relu_13"
"","LAYER_features_dense_1_0_conv1"
"NN_Conv2d_14","NN_Conv2d_14"
"","LAYER_features_dense_1_0_bn2"
"NN_BatchNorm2d_15","NN_BatchNorm2d_15"
"Functional_relu_14","Functional_relu_14"
"","LAYER_features_dense_1_0_conv2"
"NN_Conv2d_15","NN_Conv2d_15"
"Functional_concat_6","Torch_cat_6
LAYER_features_dense_1_0
LAYER_features_dense_1_1_bn1"
"NN_BatchNorm2d_16","NN_BatchNorm2d_16"
"Functional_relu_15","Functional_relu_15"
"","LAYER_features_dense_1_1_conv1"
"NN_Conv2d_16","NN_Conv2d_16"
"","LAYER_features_dense_1_1_bn2"
"NN_BatchNorm2d_17","NN_BatchNorm2d_17"
"Functional_relu_16","Functional_relu_16"
"","LAYER_features_dense_1_1_conv2"
"NN_Conv2d_17","NN_Conv2d_17"
"Functional_concat_7","Torch_cat_7
LAYER_features_dense_1_1
LAYER_features_dense_1_2_bn1"
"NN_BatchNorm2d_18","NN_BatchNorm2d_18"
"Functional_relu_17","Functional_relu_17"
"","LAYER_features_dense_1_2_conv1"
"NN_Conv2d_18","NN_Conv2d_18"
"","LAYER_features_dense_1_2_bn2"
"NN_BatchNorm2d_19","NN_BatchNorm2d_19"
"Functional_relu_18","Functional_relu_18"
"","LAYER_features_dense_1_2_conv2"
"NN_Conv2d_19","NN_Conv2d_19"
"Functional_concat_8","Torch_cat_8
LAYER_features_dense_1_2
LAYER_features_dense_1_3_bn1"
"NN_BatchNorm2d_20","NN_BatchNorm2d_20"
"Functional_relu_19","Functional_relu_19"
"","LAYER_features_dense_1_3_conv1"
"NN_Conv2d_20","NN_Conv2d_20"
"","LAYER_features_dense_1_3_bn2"
"NN_BatchNorm2d_21","NN_BatchNorm2d_21"
"Functional_relu_20","Functional_relu_20"
"","LAYER_features_dense_1_3_conv2"
"NN_Conv2d_21","NN_Conv2d_21"
"Functional_concat_9","Torch_cat_9
LAYER_features_dense_1_3
LAYER_features_dense_1_4_bn1"
"NN_BatchNorm2d_22","NN_BatchNorm2d_22"
"Functional_relu_21","Functional_relu_21"
"","LAYER_features_dense_1_4_conv1"
"NN_Conv2d_22","NN_Conv2d_22"
"","LAYER_features_dense_1_4_bn2"
"NN_BatchNorm2d_23","NN_BatchNorm2d_23"
"Functional_relu_22","Functional_relu_22"
"","LAYER_features_dense_1_4_conv2"
"NN_Conv2d_23","NN_Conv2d_23"
"Functional_concat_10","Torch_cat_10
LAYER_features_dense_1_4
LAYER_features_dense_1_5_bn1"
"NN_BatchNorm2d_24","NN_BatchNorm2d_24"
"Functional_relu_23","Functional_relu_23"
"","LAYER_features_dense_1_5_conv1"
"NN_Conv2d_24","NN_Conv2d_24"
"","LAYER_features_dense_1_5_bn2"
"NN_BatchNorm2d_25","NN_BatchNorm2d_25"
"Functional_relu_24","Functional_relu_24"
"","LAYER_features_dense_1_5_conv2"
"NN_Conv2d_25","NN_Conv2d_25"
"Functional_concat_11","Torch_cat_11
LAYER_features_dense_1_5
LAYER_features_dense_1_6_bn1"
"NN_BatchNorm2d_26","NN_BatchNorm2d_26"
"Functional_relu_25","Functional_relu_25"
"","LAYER_features_dense_1_6_conv1"
"NN_Conv2d_26","NN_Conv2d_26"
"","LAYER_features_dense_1_6_bn2"
"NN_BatchNorm2d_27","NN_BatchNorm2d_27"
"Functional_relu_26","Functional_relu_26"
"","LAYER_features_dense_1_6_conv2"
"NN_Conv2d_27","NN_Conv2d_27"
"Functional_concat_12","Torch_cat_12
LAYER_features_dense_1_6
LAYER_features_dense_1_7_bn1"
"NN_BatchNorm2d_28","NN_BatchNorm2d_28"
"Functional_relu_27","Functional_relu_27"
"","LAYER_features_dense_1_7_conv1"
"NN_Conv2d_28","NN_Conv2d_28"
"","LAYER_features_dense_1_7_bn2"
"NN_BatchNorm2d_29","NN_BatchNorm2d_29"
"Functional_relu_28","Functional_relu_28"
"","LAYER_features_dense_1_7_conv2"
"NN_Conv2d_29","NN_Conv2d_29"
"Functional_concat_13","Torch_cat_13
LAYER_features_dense_1_7
LAYER_features_dense_1_8_bn1"
"NN_BatchNorm2d_30","NN_BatchNorm2d_30"
"Functional_relu_29","Functional_relu_29"
"","LAYER_features_dense_1_8_conv1"
"NN_Conv2d_30","NN_Conv2d_30"
"","LAYER_features_dense_1_8_bn2"
"NN_BatchNorm2d_31","NN_BatchNorm2d_31"
"Functional_relu_30","Functional_relu_30"
"","LAYER_features_dense_1_8_conv2"
"NN_Conv2d_31","NN_Conv2d_31"
"Functional_concat_14","Torch_cat_14
LAYER_features_dense_1_8
LAYER_features_dense_1_9_bn1"
"NN_BatchNorm2d_32","NN_BatchNorm2d_32"
"Functional_relu_31","Functional_relu_31"
"","LAYER_features_dense_1_9_conv1"
"NN_Conv2d_32","NN_Conv2d_32"
"","LAYER_features_dense_1_9_bn2"
"NN_BatchNorm2d_33","NN_BatchNorm2d_33"
"Functional_relu_32","Functional_relu_32"
"","LAYER_features_dense_1_9_conv2"
"NN_Conv2d_33","NN_Conv2d_33"
"Functional_concat_15","Torch_cat_15
LAYER_features_dense_1_9
LAYER_features_dense_1_10_bn1"
"NN_BatchNorm2d_34","NN_BatchNorm2d_34"
"Functional_relu_33","Functional_relu_33"
"","LAYER_features_dense_1_10_conv1"
"NN_Conv2d_34","NN_Conv2d_34"
"","LAYER_features_dense_1_10_bn2"
"NN_BatchNorm2d_35","NN_BatchNorm2d_35"
"Functional_relu_34","Functional_relu_34"
"","LAYER_features_dense_1_10_conv2"
"NN_Conv2d_35","NN_Conv2d_35"
"Functional_concat_16","Torch_cat_16
LAYER_features_dense_1_10
LAYER_features_dense_1_11_bn1"
"NN_BatchNorm2d_36","NN_BatchNorm2d_36"
"Functional_relu_35","Functional_relu_35"
"","LAYER_features_dense_1_11_conv1"
"NN_Conv2d_36","NN_Conv2d_36"
"","LAYER_features_dense_1_11_bn2"
"NN_BatchNorm2d_37","NN_BatchNorm2d_37"
"Functional_relu_36","Functional_relu_36"
"","LAYER_features_dense_1_11_conv2"
"NN_Conv2d_37","NN_Conv2d_37"
"Functional_concat_17","Torch_cat_17
LAYER_features_dense_1_11
LAYER_features_dense_1
LAYER_features_trans_1_bn"
"NN_BatchNorm2d_38","NN_BatchNorm2d_38"
"Functional_relu_37","Functional_relu_37"
"","LAYER_features_trans_1_conv"
"NN_Conv2d_38","NN_Conv2d_38"
"","LAYER_features_trans_1_pool"
"NN_AvgPool2d_1","NN_AvgPool2d_1"
"","LAYER_features_trans_1
LAYER_features_dense_2_0_bn1"
"NN_BatchNorm2d_39","NN_BatchNorm2d_39"
"Functional_relu_38","Functional_relu_38"
"","LAYER_features_dense_2_0_conv1"
"NN_Conv2d_39","NN_Conv2d_39"
"","LAYER_features_dense_2_0_bn2"
"NN_BatchNorm2d_40","NN_BatchNorm2d_40"
"Functional_relu_39","Functional_relu_39"
"","LAYER_features_dense_2_0_conv2"
"NN_Conv2d_40","NN_Conv2d_40"
"Functional_concat_18","Torch_cat_18
LAYER_features_dense_2_0
LAYER_features_dense_2_1_bn1"
"NN_BatchNorm2d_41","NN_BatchNorm2d_41"
"Functional_relu_40","Functional_relu_40"
"","LAYER_features_dense_2_1_conv1"
"NN_Conv2d_41","NN_Conv2d_41"
"","LAYER_features_dense_2_1_bn2"
"NN_BatchNorm2d_42","NN_BatchNorm2d_42"
"Functional_relu_41","Functional_relu_41"
"","LAYER_features_dense_2_1_conv2"
"NN_Conv2d_42","NN_Conv2d_42"
"Functional_concat_19","Torch_cat_19
LAYER_features_dense_2_1
LAYER_features_dense_2_2_bn1"
"NN_BatchNorm2d_43","NN_BatchNorm2d_43"
"Functional_relu_42","Functional_relu_42"
"","LAYER_features_dense_2_2_conv1"
"NN_Conv2d_43","NN_Conv2d_43"
"","LAYER_features_dense_2_2_bn2"
"NN_BatchNorm2d_44","NN_BatchNorm2d_44"
"Functional_relu_43","Functional_relu_43"
"","LAYER_features_dense_2_2_conv2"
"NN_Conv2d_44","NN_Conv2d_44"
"Functional_concat_20","Torch_cat_20
LAYER_features_dense_2_2
LAYER_features_dense_2_3_bn1"
"NN_BatchNorm2d_45","NN_BatchNorm2d_45"
"Functional_relu_44","Functional_relu_44"
"","LAYER_features_dense_2_3_conv1"
"NN_Conv2d_45","NN_Conv2d_45"
"","LAYER_features_dense_2_3_bn2"
"NN_BatchNorm2d_46","NN_BatchNorm2d_46"
"Functional_relu_45","Functional_relu_45"
"","LAYER_features_dense_2_3_conv2"
"NN_Conv2d_46","NN_Conv2d_46"
"Functional_concat_21","Torch_cat_21
LAYER_features_dense_2_3
LAYER_features_dense_2_4_bn1"
"NN_BatchNorm2d_47","NN_BatchNorm2d_47"
"Functional_relu_46","Functional_relu_46"
"","LAYER_features_dense_2_4_conv1"
"NN_Conv2d_47","NN_Conv2d_47"
"","LAYER_features_dense_2_4_bn2"
"NN_BatchNorm2d_48","NN_BatchNorm2d_48"
"Functional_relu_47","Functional_relu_47"
"","LAYER_features_dense_2_4_conv2"
"NN_Conv2d_48","NN_Conv2d_48"
"Functional_concat_22","Torch_cat_22
LAYER_features_dense_2_4
LAYER_features_dense_2_5_bn1"
"NN_BatchNorm2d_49","NN_BatchNorm2d_49"
"Functional_relu_48","Functional_relu_48"
"","LAYER_features_dense_2_5_conv1"
"NN_Conv2d_49","NN_Conv2d_49"
"","LAYER_features_dense_2_5_bn2"
"NN_BatchNorm2d_50","NN_BatchNorm2d_50"
"Functional_relu_49","Functional_relu_49"
"","LAYER_features_dense_2_5_conv2"
"NN_Conv2d_50","NN_Conv2d_50"
"Functional_concat_23","Torch_cat_23
LAYER_features_dense_2_5
LAYER_features_dense_2_6_bn1"
"NN_BatchNorm2d_51","NN_BatchNorm2d_51"
"Functional_relu_50","Functional_relu_50"
"","LAYER_features_dense_2_6_conv1"
"NN_Conv2d_51","NN_Conv2d_51"
"","LAYER_features_dense_2_6_bn2"
"NN_BatchNorm2d_52","NN_BatchNorm2d_52"
"Functional_relu_51","Functional_relu_51"
"","LAYER_features_dense_2_6_conv2"
"NN_Conv2d_52","NN_Conv2d_52"
"Functional_concat_24","Torch_cat_24
LAYER_features_dense_2_6
LAYER_features_dense_2_7_bn1"
"NN_BatchNorm2d_53","NN_BatchNorm2d_53"
"Functional_relu_52","Functional_relu_52"
"","LAYER_features_dense_2_7_conv1"
"NN_Conv2d_53","NN_Conv2d_53"
"","LAYER_features_dense_2_7_bn2"
"NN_BatchNorm2d_54","NN_BatchNorm2d_54"
"Functional_relu_53","Functional_relu_53"
"","LAYER_features_dense_2_7_conv2"
"NN_Conv2d_54","NN_Conv2d_54"
"Functional_concat_25","Torch_cat_25
LAYER_features_dense_2_7
LAYER_features_dense_2_8_bn1"
"NN_BatchNorm2d_55","NN_BatchNorm2d_55"
"Functional_relu_54","Functional_relu_54"
"","LAYER_features_dense_2_8_conv1"
"NN_Conv2d_55","NN_Conv2d_55"
"","LAYER_features_dense_2_8_bn2"
"NN_BatchNorm2d_56","NN_BatchNorm2d_56"
"Functional_relu_55","Functional_relu_55"
"","LAYER_features_dense_2_8_conv2"
"NN_Conv2d_56","NN_Conv2d_56"
"Functional_concat_26","Torch_cat_26
LAYER_features_dense_2_8
LAYER_features_dense_2_9_bn1"
"NN_BatchNorm2d_57","NN_BatchNorm2d_57"
"Functional_relu_56","Functional_relu_56"
"","LAYER_features_dense_2_9_conv1"
"NN_Conv2d_57","NN_Conv2d_57"
"","LAYER_features_dense_2_9_bn2"
"NN_BatchNorm2d_58","NN_BatchNorm2d_58"
"Functional_relu_57","Functional_relu_57"
"","LAYER_features_dense_2_9_conv2"
"NN_Conv2d_58","NN_Conv2d_58"
"Functional_concat_27","Torch_cat_27
LAYER_features_dense_2_9
LAYER_features_dense_2_10_bn1"
"NN_BatchNorm2d_59","NN_BatchNorm2d_59"
"Functional_relu_58","Functional_relu_58"
"","LAYER_features_dense_2_10_conv1"
"NN_Conv2d_59","NN_Conv2d_59"
"","LAYER_features_dense_2_10_bn2"
"NN_BatchNorm2d_60","NN_BatchNorm2d_60"
"Functional_relu_59","Functional_relu_59"
"","LAYER_features_dense_2_10_conv2"
"NN_Conv2d_60","NN_Conv2d_60"
"Functional_concat_28","Torch_cat_28
LAYER_features_dense_2_10
LAYER_features_dense_2_11_bn1"
"NN_BatchNorm2d_61","NN_BatchNorm2d_61"
"Functional_relu_60","Functional_relu_60"
"","LAYER_features_dense_2_11_conv1"
"NN_Conv2d_61","NN_Conv2d_61"
"","LAYER_features_dense_2_11_bn2"
"NN_BatchNorm2d_62","NN_BatchNorm2d_62"
"Functional_relu_61","Functional_relu_61"
"","LAYER_features_dense_2_11_conv2"
"NN_Conv2d_62","NN_Conv2d_62"
"Functional_concat_29","Torch_cat_29
LAYER_features_dense_2_11
LAYER_features_dense_2_12_bn1"
"NN_BatchNorm2d_63","NN_BatchNorm2d_63"
"Functional_relu_62","Functional_relu_62"
"","LAYER_features_dense_2_12_conv1"
"NN_Conv2d_63","NN_Conv2d_63"
"","LAYER_features_dense_2_12_bn2"
"NN_BatchNorm2d_64","NN_BatchNorm2d_64"
"Functional_relu_63","Functional_relu_63"
"","LAYER_features_dense_2_12_conv2"
"NN_Conv2d_64","NN_Conv2d_64"
"Functional_concat_30","Torch_cat_30
LAYER_features_dense_2_12
LAYER_features_dense_2_13_bn1"
"NN_BatchNorm2d_65","NN_BatchNorm2d_65"
"Functional_relu_64","Functional_relu_64"
"","LAYER_features_dense_2_13_conv1"
"NN_Conv2d_65","NN_Conv2d_65"
"","LAYER_features_dense_2_13_bn2"
"NN_BatchNorm2d_66","NN_BatchNorm2d_66"
"Functional_relu_65","Functional_relu_65"
"","LAYER_features_dense_2_13_conv2"
"NN_Conv2d_66","NN_Conv2d_66"
"Functional_concat_31","Torch_cat_31
LAYER_features_dense_2_13
LAYER_features_dense_2_14_bn1"
"NN_BatchNorm2d_67","NN_BatchNorm2d_67"
"Functional_relu_66","Functional_relu_66"
"","LAYER_features_dense_2_14_conv1"
"NN_Conv2d_67","NN_Conv2d_67"
"","LAYER_features_dense_2_14_bn2"
"NN_BatchNorm2d_68","NN_BatchNorm2d_68"
"Functional_relu_67","Functional_relu_67"
"","LAYER_features_dense_2_14_conv2"
"NN_Conv2d_68","NN_Conv2d_68"
"Functional_concat_32","Torch_cat_32
LAYER_features_dense_2_14
LAYER_features_dense_2_15_bn1"
"NN_BatchNorm2d_69","NN_BatchNorm2d_69"
"Functional_relu_68","Functional_relu_68"
"","LAYER_features_dense_2_15_conv1"
"NN_Conv2d_69","NN_Conv2d_69"
"","LAYER_features_dense_2_15_bn2"
"NN_BatchNorm2d_70","NN_BatchNorm2d_70"
"Functional_relu_69","Functional_relu_69"
"","LAYER_features_dense_2_15_conv2"
"NN_Conv2d_70","NN_Conv2d_70"
"Functional_concat_33","Torch_cat_33
LAYER_features_dense_2_15
LAYER_features_dense_2_16_bn1"
"NN_BatchNorm2d_71","NN_BatchNorm2d_71"
"Functional_relu_70","Functional_relu_70"
"","LAYER_features_dense_2_16_conv1"
"NN_Conv2d_71","NN_Conv2d_71"
"","LAYER_features_dense_2_16_bn2"
"NN_BatchNorm2d_72","NN_BatchNorm2d_72"
"Functional_relu_71","Functional_relu_71"
"","LAYER_features_dense_2_16_conv2"
"NN_Conv2d_72","NN_Conv2d_72"
"Functional_concat_34","Torch_cat_34
LAYER_features_dense_2_16
LAYER_features_dense_2_17_bn1"
"NN_BatchNorm2d_73","NN_BatchNorm2d_73"
"Functional_relu_72","Functional_relu_72"
"","LAYER_features_dense_2_17_conv1"
"NN_Conv2d_73","NN_Conv2d_73"
"","LAYER_features_dense_2_17_bn2"
"NN_BatchNorm2d_74","NN_BatchNorm2d_74"
"Functional_relu_73","Functional_relu_73"
"","LAYER_features_dense_2_17_conv2"
"NN_Conv2d_74","NN_Conv2d_74"
"Functional_concat_35","Torch_cat_35
LAYER_features_dense_2_17
LAYER_features_dense_2_18_bn1"
"NN_BatchNorm2d_75","NN_BatchNorm2d_75"
"Functional_relu_74","Functional_relu_74"
"","LAYER_features_dense_2_18_conv1"
"NN_Conv2d_75","NN_Conv2d_75"
"","LAYER_features_dense_2_18_bn2"
"NN_BatchNorm2d_76","NN_BatchNorm2d_76"
"Functional_relu_75","Functional_relu_75"
"","LAYER_features_dense_2_18_conv2"
"NN_Conv2d_76","NN_Conv2d_76"
"Functional_concat_36","Torch_cat_36
LAYER_features_dense_2_18
LAYER_features_dense_2_19_bn1"
"NN_BatchNorm2d_77","NN_BatchNorm2d_77"
"Functional_relu_76","Functional_relu_76"
"","LAYER_features_dense_2_19_conv1"
"NN_Conv2d_77","NN_Conv2d_77"
"","LAYER_features_dense_2_19_bn2"
"NN_BatchNorm2d_78","NN_BatchNorm2d_78"
"Functional_relu_77","Functional_relu_77"
"","LAYER_features_dense_2_19_conv2"
"NN_Conv2d_78","NN_Conv2d_78"
"Functional_concat_37","Torch_cat_37
LAYER_features_dense_2_19
LAYER_features_dense_2_20_bn1"
"NN_BatchNorm2d_79","NN_BatchNorm2d_79"
"Functional_relu_78","Functional_relu_78"
"","LAYER_features_dense_2_20_conv1"
"NN_Conv2d_79","NN_Conv2d_79"
"","LAYER_features_dense_2_20_bn2"
"NN_BatchNorm2d_80","NN_BatchNorm2d_80"
"Functional_relu_79","Functional_relu_79"
"","LAYER_features_dense_2_20_conv2"
"NN_Conv2d_80","NN_Conv2d_80"
"Functional_concat_38","Torch_cat_38
LAYER_features_dense_2_20
LAYER_features_dense_2_21_bn1"
"NN_BatchNorm2d_81","NN_BatchNorm2d_81"
"Functional_relu_80","Functional_relu_80"
"","LAYER_features_dense_2_21_conv1"
"NN_Conv2d_81","NN_Conv2d_81"
"","LAYER_features_dense_2_21_bn2"
"NN_BatchNorm2d_82","NN_BatchNorm2d_82"
"Functional_relu_81","Functional_relu_81"
"","LAYER_features_dense_2_21_conv2"
"NN_Conv2d_82","NN_Conv2d_82"
"Functional_concat_39","Torch_cat_39
LAYER_features_dense_2_21
LAYER_features_dense_2_22_bn1"
"NN_BatchNorm2d_83","NN_BatchNorm2d_83"
"Functional_relu_82","Functional_relu_82"
"","LAYER_features_dense_2_22_conv1"
"NN_Conv2d_83","NN_Conv2d_83"
"","LAYER_features_dense_2_22_bn2"
"NN_BatchNorm2d_84","NN_BatchNorm2d_84"
"Functional_relu_83","Functional_relu_83"
"","LAYER_features_dense_2_22_conv2"
"NN_Conv2d_84","NN_Conv2d_84"
"Functional_concat_40","Torch_cat_40
LAYER_features_dense_2_22
LAYER_features_dense_2_23_bn1"
"NN_BatchNorm2d_85","NN_BatchNorm2d_85"
"Functional_relu_84","Functional_relu_84"
"","LAYER_features_dense_2_23_conv1"
"NN_Conv2d_85","NN_Conv2d_85"
"","LAYER_features_dense_2_23_bn2"
"NN_BatchNorm2d_86","NN_BatchNorm2d_86"
"Functional_relu_85","Functional_relu_85"
"","LAYER_features_dense_2_23_conv2"
"NN_Conv2d_86","NN_Conv2d_86"
"Functional_concat_41","Torch_cat_41
LAYER_features_dense_2_23
LAYER_features_dense_2
LAYER_features_trans_2_bn"
"NN_BatchNorm2d_87","NN_BatchNorm2d_87"
"Functional_relu_86","Functional_relu_86"
"","LAYER_features_trans_2_conv"
"NN_Conv2d_87","NN_Conv2d_87"
"","LAYER_features_trans_2_pool"
"NN_AvgPool2d_2","NN_AvgPool2d_2"
"","LAYER_features_trans_2
LAYER_features_dense_3_0_bn1"
"NN_BatchNorm2d_88","NN_BatchNorm2d_88"
"Functional_relu_87","Functional_relu_87"
"","LAYER_features_dense_3_0_conv1"
"NN_Conv2d_88","NN_Conv2d_88"
"","LAYER_features_dense_3_0_bn2"
"NN_BatchNorm2d_89","NN_BatchNorm2d_89"
"Functional_relu_88","Functional_relu_88"
"","LAYER_features_dense_3_0_conv2"
"NN_Conv2d_89","NN_Conv2d_89"
"Functional_concat_42","Torch_cat_42
LAYER_features_dense_3_0
LAYER_features_dense_3_1_bn1"
"NN_BatchNorm2d_90","NN_BatchNorm2d_90"
"Functional_relu_89","Functional_relu_89"
"","LAYER_features_dense_3_1_conv1"
"NN_Conv2d_90","NN_Conv2d_90"
"","LAYER_features_dense_3_1_bn2"
"NN_BatchNorm2d_91","NN_BatchNorm2d_91"
"Functional_relu_90","Functional_relu_90"
"","LAYER_features_dense_3_1_conv2"
"NN_Conv2d_91","NN_Conv2d_91"
"Functional_concat_43","Torch_cat_43
LAYER_features_dense_3_1
LAYER_features_dense_3_2_bn1"
"NN_BatchNorm2d_92","NN_BatchNorm2d_92"
"Functional_relu_91","Functional_relu_91"
"","LAYER_features_dense_3_2_conv1"
"NN_Conv2d_92","NN_Conv2d_92"
"","LAYER_features_dense_3_2_bn2"
"NN_BatchNorm2d_93","NN_BatchNorm2d_93"
"Functional_relu_92","Functional_relu_92"
"","LAYER_features_dense_3_2_conv2"
"NN_Conv2d_93","NN_Conv2d_93"
"Functional_concat_44","Torch_cat_44
LAYER_features_dense_3_2
LAYER_features_dense_3_3_bn1"
"NN_BatchNorm2d_94","NN_BatchNorm2d_94"
"Functional_relu_93","Functional_relu_93"
"","LAYER_features_dense_3_3_conv1"
"NN_Conv2d_94","NN_Conv2d_94"
"","LAYER_features_dense_3_3_bn2"
"NN_BatchNorm2d_95","NN_BatchNorm2d_95"
"Functional_relu_94","Functional_relu_94"
"","LAYER_features_dense_3_3_conv2"
"NN_Conv2d_95","NN_Conv2d_95"
"Functional_concat_45","Torch_cat_45
LAYER_features_dense_3_3
LAYER_features_dense_3_4_bn1"
"NN_BatchNorm2d_96","NN_BatchNorm2d_96"
"Functional_relu_95","Functional_relu_95"
"","LAYER_features_dense_3_4_conv1"
"NN_Conv2d_96","NN_Conv2d_96"
"","LAYER_features_dense_3_4_bn2"
"NN_BatchNorm2d_97","NN_BatchNorm2d_97"
"Functional_relu_96","Functional_relu_96"
"","LAYER_features_dense_3_4_conv2"
"NN_Conv2d_97","NN_Conv2d_97"
"Functional_concat_46","Torch_cat_46
LAYER_features_dense_3_4
LAYER_features_dense_3_5_bn1"
"NN_BatchNorm2d_98","NN_BatchNorm2d_98"
"Functional_relu_97","Functional_relu_97"
"","LAYER_features_dense_3_5_conv1"
"NN_Conv2d_98","NN_Conv2d_98"
"","LAYER_features_dense_3_5_bn2"
"NN_BatchNorm2d_99","NN_BatchNorm2d_99"
"Functional_relu_98","Functional_relu_98"
"","LAYER_features_dense_3_5_conv2"
"NN_Conv2d_99","NN_Conv2d_99"
"Functional_concat_47","Torch_cat_47
LAYER_features_dense_3_5
LAYER_features_dense_3_6_bn1"
"NN_BatchNorm2d_100","NN_BatchNorm2d_100"
"Functional_relu_99","Functional_relu_99"
"","LAYER_features_dense_3_6_conv1"
"NN_Conv2d_100","NN_Conv2d_100"
"","LAYER_features_dense_3_6_bn2"
"NN_BatchNorm2d_101","NN_BatchNorm2d_101"
"Functional_relu_100","Functional_relu_100"
"","LAYER_features_dense_3_6_conv2"
"NN_Conv2d_101","NN_Conv2d_101"
"Functional_concat_48","Torch_cat_48
LAYER_features_dense_3_6
LAYER_features_dense_3_7_bn1"
"NN_BatchNorm2d_102","NN_BatchNorm2d_102"
"Functional_relu_101","Functional_relu_101"
"","LAYER_features_dense_3_7_conv1"
"NN_Conv2d_102","NN_Conv2d_102"
"","LAYER_features_dense_3_7_bn2"
"NN_BatchNorm2d_103","NN_BatchNorm2d_103"
"Functional_relu_102","Functional_relu_102"
"","LAYER_features_dense_3_7_conv2"
"NN_Conv2d_103","NN_Conv2d_103"
"Functional_concat_49","Torch_cat_49
LAYER_features_dense_3_7
LAYER_features_dense_3_8_bn1"
"NN_BatchNorm2d_104","NN_BatchNorm2d_104"
"Functional_relu_103","Functional_relu_103"
"","LAYER_features_dense_3_8_conv1"
