"ORIGIN NET (mindspore)","TARGET NET (pytorch)"
"NN_Conv2d_9","NN_Conv2d_9"
"NN_Conv2d_10","NN_Conv2d_10"
"NN_Conv2d_11","NN_Conv2d_11"
"NN_Conv2d_12","NN_Conv2d_12"
"NN_Conv2d_13","NN_Conv2d_13"
"NN_Conv2d_14","NN_Conv2d_14"
"NN_Conv2d_15","NN_Conv2d_15"
"NN_Conv2d_16","NN_Conv2d_16"
"NN_Conv2d_17","NN_Conv2d_17"
"","LAYER_features_dense_0_0_bn2"
"NN_BatchNorm2d_18","NN_BatchNorm2d_18"
"NN_BatchNorm2d_19","NN_BatchNorm2d_19"
"NN_BatchNorm2d_20","NN_BatchNorm2d_20"
"NN_BatchNorm2d_21","NN_BatchNorm2d_21"
"NN_BatchNorm2d_22","NN_BatchNorm2d_22"
"NN_BatchNorm2d_23","NN_BatchNorm2d_23"
"NN_BatchNorm2d_24","NN_BatchNorm2d_24"
"NN_BatchNorm2d_25","NN_BatchNorm2d_25"
"NN_BatchNorm2d_26","NN_BatchNorm2d_26"
"Functional_relu_1","Functional_relu_1"
"","LAYER_features_dense_0_0_conv2"
"NN_Conv2d_18","NN_Conv2d_18"
"NN_Conv2d_19","NN_Conv2d_19"
"NN_Conv2d_20","NN_Conv2d_20"
"NN_Conv2d_21","NN_Conv2d_21"
"NN_Conv2d_22","NN_Conv2d_22"
"NN_Conv2d_23","NN_Conv2d_23"
"NN_Conv2d_24","NN_Conv2d_24"
"NN_Conv2d_25","NN_Conv2d_25"
"NN_Conv2d_26","NN_Conv2d_26"
"Functional_concat_0","Torch_cat_0
LAYER_features_dense_0_0
LAYER_features_dense_0_1_bn1"
"NN_BatchNorm2d_27","NN_BatchNorm2d_27"
"NN_BatchNorm2d_28","NN_BatchNorm2d_28"
"NN_BatchNorm2d_29","NN_BatchNorm2d_29"
"NN_BatchNorm2d_30","NN_BatchNorm2d_30"
"NN_BatchNorm2d_31","NN_BatchNorm2d_31"
"NN_BatchNorm2d_32","NN_BatchNorm2d_32"
"NN_BatchNorm2d_33","NN_BatchNorm2d_33"
"NN_BatchNorm2d_34","NN_BatchNorm2d_34"
"NN_BatchNorm2d_35","NN_BatchNorm2d_35"
"Functional_relu_2","Functional_relu_2"
"","LAYER_features_dense_0_1_conv1"
"NN_Conv2d_27","NN_Conv2d_27"
"NN_Conv2d_28","NN_Conv2d_28"
"NN_Conv2d_29","NN_Conv2d_29"
"NN_Conv2d_30","NN_Conv2d_30"
"NN_Conv2d_31","NN_Conv2d_31"
"NN_Conv2d_32","NN_Conv2d_32"
"NN_Conv2d_33","NN_Conv2d_33"
"NN_Conv2d_34","NN_Conv2d_34"
"NN_Conv2d_35","NN_Conv2d_35"
"","LAYER_features_dense_0_1_bn2"
"NN_BatchNorm2d_36","NN_BatchNorm2d_36"
"NN_BatchNorm2d_37","NN_BatchNorm2d_37"
"NN_BatchNorm2d_38","NN_BatchNorm2d_38"
"NN_BatchNorm2d_39","NN_BatchNorm2d_39"
"NN_BatchNorm2d_40","NN_BatchNorm2d_40"
"NN_BatchNorm2d_41","NN_BatchNorm2d_41"
"NN_BatchNorm2d_42","NN_BatchNorm2d_42"
"NN_BatchNorm2d_43","NN_BatchNorm2d_43"
"NN_BatchNorm2d_44","NN_BatchNorm2d_44"
"Functional_relu_3","Functional_relu_3"
"","LAYER_features_dense_0_1_conv2"
"NN_Conv2d_36","NN_Conv2d_36"
"NN_Conv2d_37","NN_Conv2d_37"
"NN_Conv2d_38","NN_Conv2d_38"
"NN_Conv2d_39","NN_Conv2d_39"
"NN_Conv2d_40","NN_Conv2d_40"
"NN_Conv2d_41","NN_Conv2d_41"
"NN_Conv2d_42","NN_Conv2d_42"
"NN_Conv2d_43","NN_Conv2d_43"
"NN_Conv2d_44","NN_Conv2d_44"
"Functional_concat_1","Torch_cat_1
LAYER_features_dense_0_1
LAYER_features_dense_0_2_bn1"
"NN_BatchNorm2d_45","NN_BatchNorm2d_45"
"NN_BatchNorm2d_46","NN_BatchNorm2d_46"
"NN_BatchNorm2d_47","NN_BatchNorm2d_47"
"NN_BatchNorm2d_48","NN_BatchNorm2d_48"
"NN_BatchNorm2d_49","NN_BatchNorm2d_49"
"NN_BatchNorm2d_50","NN_BatchNorm2d_50"
"NN_BatchNorm2d_51","NN_BatchNorm2d_51"
"NN_BatchNorm2d_52","NN_BatchNorm2d_52"
"NN_BatchNorm2d_53","NN_BatchNorm2d_53"
"Functional_relu_4","Functional_relu_4"
"","LAYER_features_dense_0_2_conv1"
"NN_Conv2d_45","NN_Conv2d_45"
"NN_Conv2d_46","NN_Conv2d_46"
"NN_Conv2d_47","NN_Conv2d_47"
"NN_Conv2d_48","NN_Conv2d_48"
"NN_Conv2d_49","NN_Conv2d_49"
"NN_Conv2d_50","NN_Conv2d_50"
"NN_Conv2d_51","NN_Conv2d_51"
"NN_Conv2d_52","NN_Conv2d_52"
"NN_Conv2d_53","NN_Conv2d_53"
"","LAYER_features_dense_0_2_bn2"
"NN_BatchNorm2d_54","NN_BatchNorm2d_54"
"NN_BatchNorm2d_55","NN_BatchNorm2d_55"
"NN_BatchNorm2d_56","NN_BatchNorm2d_56"
"NN_BatchNorm2d_57","NN_BatchNorm2d_57"
"NN_BatchNorm2d_58","NN_BatchNorm2d_58"
"NN_BatchNorm2d_59","NN_BatchNorm2d_59"
"NN_BatchNorm2d_60","NN_BatchNorm2d_60"
"NN_BatchNorm2d_61","NN_BatchNorm2d_61"
"NN_BatchNorm2d_62","NN_BatchNorm2d_62"
"Functional_relu_5","Functional_relu_5"
"","LAYER_features_dense_0_2_conv2"
"NN_Conv2d_54","NN_Conv2d_54"
"NN_Conv2d_55","NN_Conv2d_55"
"NN_Conv2d_56","NN_Conv2d_56"
"NN_Conv2d_57","NN_Conv2d_57"
"NN_Conv2d_58","NN_Conv2d_58"
"NN_Conv2d_59","NN_Conv2d_59"
"NN_Conv2d_60","NN_Conv2d_60"
"NN_Conv2d_61","NN_Conv2d_61"
"NN_Conv2d_62","NN_Conv2d_62"
"Functional_concat_2","Torch_cat_2
LAYER_features_dense_0_2
LAYER_features_dense_0_3_bn1"
"NN_BatchNorm2d_63","NN_BatchNorm2d_63"
"NN_BatchNorm2d_64","NN_BatchNorm2d_64"
"NN_BatchNorm2d_65","NN_BatchNorm2d_65"
"NN_BatchNorm2d_66","NN_BatchNorm2d_66"
"NN_BatchNorm2d_67","NN_BatchNorm2d_67"
"NN_BatchNorm2d_68","NN_BatchNorm2d_68"
"NN_BatchNorm2d_69","NN_BatchNorm2d_69"
"NN_BatchNorm2d_70","NN_BatchNorm2d_70"
"NN_BatchNorm2d_71","NN_BatchNorm2d_71"
"Functional_relu_6","Functional_relu_6"
"","LAYER_features_dense_0_3_conv1"
"NN_Conv2d_63","NN_Conv2d_63"
"NN_Conv2d_64","NN_Conv2d_64"
"NN_Conv2d_65","NN_Conv2d_65"
"NN_Conv2d_66","NN_Conv2d_66"
"NN_Conv2d_67","NN_Conv2d_67"
"NN_Conv2d_68","NN_Conv2d_68"
"NN_Conv2d_69","NN_Conv2d_69"
"NN_Conv2d_70","NN_Conv2d_70"
"NN_Conv2d_71","NN_Conv2d_71"
"","LAYER_features_dense_0_3_bn2"
"NN_BatchNorm2d_72","NN_BatchNorm2d_72"
"NN_BatchNorm2d_73","NN_BatchNorm2d_73"
"NN_BatchNorm2d_74","NN_BatchNorm2d_74"
"NN_BatchNorm2d_75","NN_BatchNorm2d_75"
"NN_BatchNorm2d_76","NN_BatchNorm2d_76"
"NN_BatchNorm2d_77","NN_BatchNorm2d_77"
"NN_BatchNorm2d_78","NN_BatchNorm2d_78"
"NN_BatchNorm2d_79","NN_BatchNorm2d_79"
"NN_BatchNorm2d_80","NN_BatchNorm2d_80"
"Functional_relu_7","Functional_relu_7"
"","LAYER_features_dense_0_3_conv2"
"NN_Conv2d_72","NN_Conv2d_72"
"NN_Conv2d_73","NN_Conv2d_73"
"NN_Conv2d_74","NN_Conv2d_74"
"NN_Conv2d_75","NN_Conv2d_75"
"NN_Conv2d_76","NN_Conv2d_76"
"NN_Conv2d_77","NN_Conv2d_77"
"NN_Conv2d_78","NN_Conv2d_78"
"NN_Conv2d_79","NN_Conv2d_79"
"NN_Conv2d_80","NN_Conv2d_80"
"Functional_concat_3","Torch_cat_3
LAYER_features_dense_0_3
LAYER_features_dense_0_4_bn1"
"NN_BatchNorm2d_81","NN_BatchNorm2d_81"
"NN_BatchNorm2d_82","NN_BatchNorm2d_82"
"NN_BatchNorm2d_83","NN_BatchNorm2d_83"
"NN_BatchNorm2d_84","NN_BatchNorm2d_84"
"NN_BatchNorm2d_85","NN_BatchNorm2d_85"
"NN_BatchNorm2d_86","NN_BatchNorm2d_86"
"NN_BatchNorm2d_87","NN_BatchNorm2d_87"
"NN_BatchNorm2d_88","NN_BatchNorm2d_88"
"NN_BatchNorm2d_89","NN_BatchNorm2d_89"
"Functional_relu_8","Functional_relu_8"
"","LAYER_features_dense_0_4_conv1"
"NN_Conv2d_81","NN_Conv2d_81"
"NN_Conv2d_82","NN_Conv2d_82"
"NN_Conv2d_83","NN_Conv2d_83"
"NN_Conv2d_84","NN_Conv2d_84"
"NN_Conv2d_85","NN_Conv2d_85"
"NN_Conv2d_86","NN_Conv2d_86"
"NN_Conv2d_87","NN_Conv2d_87"
"NN_Conv2d_88","NN_Conv2d_88"
"NN_Conv2d_89","NN_Conv2d_89"
"","LAYER_features_dense_0_4_bn2"
"NN_BatchNorm2d_90","NN_BatchNorm2d_90"
"NN_BatchNorm2d_91","NN_BatchNorm2d_91"
"NN_BatchNorm2d_92","NN_BatchNorm2d_92"
"NN_BatchNorm2d_93","NN_BatchNorm2d_93"
"NN_BatchNorm2d_94","NN_BatchNorm2d_94"
"NN_BatchNorm2d_95","NN_BatchNorm2d_95"
"NN_BatchNorm2d_96","NN_BatchNorm2d_96"
"NN_BatchNorm2d_97","NN_BatchNorm2d_97"
"NN_BatchNorm2d_98","NN_BatchNorm2d_98"
"Functional_relu_9","Functional_relu_9"
"","LAYER_features_dense_0_4_conv2"
"NN_Conv2d_90","NN_Conv2d_90"
"NN_Conv2d_91","NN_Conv2d_91"
"NN_Conv2d_92","NN_Conv2d_92"
"NN_Conv2d_93","NN_Conv2d_93"
"NN_Conv2d_94","NN_Conv2d_94"
"NN_Conv2d_95","NN_Conv2d_95"
"NN_Conv2d_96","NN_Conv2d_96"
"NN_Conv2d_97","NN_Conv2d_97"
"NN_Conv2d_98","NN_Conv2d_98"
"Functional_concat_4","Torch_cat_4
LAYER_features_dense_0_4
LAYER_features_dense_0_5_bn1"
"NN_BatchNorm2d_99","NN_BatchNorm2d_99"
"NN_BatchNorm2d_100","NN_BatchNorm2d_100"
"NN_BatchNorm2d_101","NN_BatchNorm2d_101"
"NN_BatchNorm2d_102","NN_BatchNorm2d_102"
"NN_BatchNorm2d_103","NN_BatchNorm2d_103"
"NN_BatchNorm2d_104","NN_BatchNorm2d_104"
"NN_BatchNorm2d_105","NN_BatchNorm2d_105"
"NN_BatchNorm2d_106","NN_BatchNorm2d_106"
"NN_BatchNorm2d_107","NN_BatchNorm2d_107"
"Functional_relu_10","Functional_relu_10"
"","LAYER_features_dense_0_5_conv1"
"NN_Conv2d_99","NN_Conv2d_99"
"NN_Conv2d_100","NN_Conv2d_100"
"NN_Conv2d_101","NN_Conv2d_101"
"NN_Conv2d_102","NN_Conv2d_102"
"NN_Conv2d_103","NN_Conv2d_103"
"NN_Conv2d_104","NN_Conv2d_104"
"NN_Conv2d_105","NN_Conv2d_105"
"NN_Conv2d_106","NN_Conv2d_106"
"NN_Conv2d_107","NN_Conv2d_107"
"","LAYER_features_dense_0_5_bn2"
"NN_BatchNorm2d_108","NN_BatchNorm2d_108"
"NN_BatchNorm2d_109","NN_BatchNorm2d_109"
"NN_BatchNorm2d_110","NN_BatchNorm2d_110"
"NN_BatchNorm2d_111","NN_BatchNorm2d_111"
"NN_BatchNorm2d_112","NN_BatchNorm2d_112"
"NN_BatchNorm2d_113","NN_BatchNorm2d_113"
"NN_BatchNorm2d_114","NN_BatchNorm2d_114"
"NN_BatchNorm2d_115","NN_BatchNorm2d_115"
"NN_BatchNorm2d_116","NN_BatchNorm2d_116"
"Functional_relu_11","Functional_relu_11"
"","LAYER_features_dense_0_5_conv2"
"NN_Conv2d_108","NN_Conv2d_108"
"NN_Conv2d_109","NN_Conv2d_109"
"NN_Conv2d_110","NN_Conv2d_110"
"NN_Conv2d_111","NN_Conv2d_111"
"NN_Conv2d_112","NN_Conv2d_112"
"NN_Conv2d_113","NN_Conv2d_113"
"NN_Conv2d_114","NN_Conv2d_114"
"NN_Conv2d_115","NN_Conv2d_115"
"NN_Conv2d_116","NN_Conv2d_116"
"Functional_concat_5","Torch_cat_5
LAYER_features_dense_0_5
LAYER_features_dense_0
LAYER_features_trans_0_bn"
"NN_BatchNorm2d_117","NN_BatchNorm2d_117"
"NN_BatchNorm2d_118","NN_BatchNorm2d_118"
"NN_BatchNorm2d_119","NN_BatchNorm2d_119"
"NN_BatchNorm2d_120","NN_BatchNorm2d_120"
"NN_BatchNorm2d_121","NN_BatchNorm2d_121"
"NN_BatchNorm2d_122","NN_BatchNorm2d_122"
"NN_BatchNorm2d_123","NN_BatchNorm2d_123"
"NN_BatchNorm2d_124","NN_BatchNorm2d_124"
"NN_BatchNorm2d_125","NN_BatchNorm2d_125"
"Functional_relu_12","Functional_relu_12"
"","LAYER_features_trans_0_conv"
"NN_Conv2d_117","NN_Conv2d_117"
"NN_Conv2d_118","NN_Conv2d_118"
"NN_Conv2d_119","NN_Conv2d_119"
"NN_Conv2d_120","NN_Conv2d_120"
"NN_Conv2d_121","NN_Conv2d_121"
"NN_Conv2d_122","NN_Conv2d_122"
"NN_Conv2d_123","NN_Conv2d_123"
"NN_Conv2d_124","NN_Conv2d_124"
"NN_Conv2d_125","NN_Conv2d_125"
"","LAYER_features_trans_0_pool"
"NN_AvgPool2d_0","NN_AvgPool2d_0"
"NN_AvgPool2d_1","NN_AvgPool2d_1"
"NN_AvgPool2d_2","NN_AvgPool2d_2"
"NN_AvgPool2d_3","NN_AvgPool2d_3"
"NN_AvgPool2d_4","NN_AvgPool2d_4"
"NN_AvgPool2d_5","NN_AvgPool2d_5"
"NN_AvgPool2d_6","NN_AvgPool2d_6"
"NN_AvgPool2d_7","NN_AvgPool2d_7"
"NN_AvgPool2d_8","NN_AvgPool2d_8"
"","LAYER_features_trans_0
LAYER_features_dense_1_0_bn1"
"NN_BatchNorm2d_126","NN_BatchNorm2d_126"
"NN_BatchNorm2d_127","NN_BatchNorm2d_127"
"NN_BatchNorm2d_128","NN_BatchNorm2d_128"
"NN_BatchNorm2d_129","NN_BatchNorm2d_129"
"NN_BatchNorm2d_130","NN_BatchNorm2d_130"
"NN_BatchNorm2d_131","NN_BatchNorm2d_131"
"NN_BatchNorm2d_132","NN_BatchNorm2d_132"
"NN_BatchNorm2d_133","NN_BatchNorm2d_133"
"NN_BatchNorm2d_134","NN_BatchNorm2d_134"
"Functional_relu_13","Functional_relu_13"
"","LAYER_features_dense_1_0_conv1"
"NN_Conv2d_126","NN_Conv2d_126"
"NN_Conv2d_127","NN_Conv2d_127"
"NN_Conv2d_128","NN_Conv2d_128"
"NN_Conv2d_129","NN_Conv2d_129"
"NN_Conv2d_130","NN_Conv2d_130"
"NN_Conv2d_131","NN_Conv2d_131"
"NN_Conv2d_132","NN_Conv2d_132"
"NN_Conv2d_133","NN_Conv2d_133"
"NN_Conv2d_134","NN_Conv2d_134"
"","LAYER_features_dense_1_0_bn2"
"NN_BatchNorm2d_135","NN_BatchNorm2d_135"
"NN_BatchNorm2d_136","NN_BatchNorm2d_136"
"NN_BatchNorm2d_137","NN_BatchNorm2d_137"
"NN_BatchNorm2d_138","NN_BatchNorm2d_138"
"NN_BatchNorm2d_139","NN_BatchNorm2d_139"
"NN_BatchNorm2d_140","NN_BatchNorm2d_140"
"NN_BatchNorm2d_141","NN_BatchNorm2d_141"
"NN_BatchNorm2d_142","NN_BatchNorm2d_142"
"NN_BatchNorm2d_143","NN_BatchNorm2d_143"
"Functional_relu_14","Functional_relu_14"
"","LAYER_features_dense_1_0_conv2"
"NN_Conv2d_135","NN_Conv2d_135"
"NN_Conv2d_136","NN_Conv2d_136"
"NN_Conv2d_137","NN_Conv2d_137"
"NN_Conv2d_138","NN_Conv2d_138"
"NN_Conv2d_139","NN_Conv2d_139"
"NN_Conv2d_140","NN_Conv2d_140"
"NN_Conv2d_141","NN_Conv2d_141"
"NN_Conv2d_142","NN_Conv2d_142"
"NN_Conv2d_143","NN_Conv2d_143"
"Functional_concat_6","Torch_cat_6
LAYER_features_dense_1_0
LAYER_features_dense_1_1_bn1"
"NN_BatchNorm2d_144","NN_BatchNorm2d_144"
"NN_BatchNorm2d_145","NN_BatchNorm2d_145"
"NN_BatchNorm2d_146","NN_BatchNorm2d_146"
"NN_BatchNorm2d_147","NN_BatchNorm2d_147"
"NN_BatchNorm2d_148","NN_BatchNorm2d_148"
"NN_BatchNorm2d_149","NN_BatchNorm2d_149"
"NN_BatchNorm2d_150","NN_BatchNorm2d_150"
"NN_BatchNorm2d_151","NN_BatchNorm2d_151"
"NN_BatchNorm2d_152","NN_BatchNorm2d_152"
"Functional_relu_15","Functional_relu_15"
"","LAYER_features_dense_1_1_conv1"
"NN_Conv2d_144","NN_Conv2d_144"
"NN_Conv2d_145","NN_Conv2d_145"
"NN_Conv2d_146","NN_Conv2d_146"
"NN_Conv2d_147","NN_Conv2d_147"
"NN_Conv2d_148","NN_Conv2d_148"
"NN_Conv2d_149","NN_Conv2d_149"
"NN_Conv2d_150","NN_Conv2d_150"
"NN_Conv2d_151","NN_Conv2d_151"
"NN_Conv2d_152","NN_Conv2d_152"
"","LAYER_features_dense_1_1_bn2"
"NN_BatchNorm2d_153","NN_BatchNorm2d_153"
"NN_BatchNorm2d_154","NN_BatchNorm2d_154"
"NN_BatchNorm2d_155","NN_BatchNorm2d_155"
"NN_BatchNorm2d_156","NN_BatchNorm2d_156"
"NN_BatchNorm2d_157","NN_BatchNorm2d_157"
"NN_BatchNorm2d_158","NN_BatchNorm2d_158"
"NN_BatchNorm2d_159","NN_BatchNorm2d_159"
"NN_BatchNorm2d_160","NN_BatchNorm2d_160"
"NN_BatchNorm2d_161","NN_BatchNorm2d_161"
"Functional_relu_16","Functional_relu_16"
"","LAYER_features_dense_1_1_conv2"
"NN_Conv2d_153","NN_Conv2d_153"
"NN_Conv2d_154","NN_Conv2d_154"
"NN_Conv2d_155","NN_Conv2d_155"
"NN_Conv2d_156","NN_Conv2d_156"
"NN_Conv2d_157","NN_Conv2d_157"
"NN_Conv2d_158","NN_Conv2d_158"
"NN_Conv2d_159","NN_Conv2d_159"
"NN_Conv2d_160","NN_Conv2d_160"
"NN_Conv2d_161","NN_Conv2d_161"
"Functional_concat_7","Torch_cat_7
LAYER_features_dense_1_1
LAYER_features_dense_1_2_bn1"
"NN_BatchNorm2d_162","NN_BatchNorm2d_162"
"NN_BatchNorm2d_163","NN_BatchNorm2d_163"
"NN_BatchNorm2d_164","NN_BatchNorm2d_164"
"NN_BatchNorm2d_165","NN_BatchNorm2d_165"
"NN_BatchNorm2d_166","NN_BatchNorm2d_166"
"NN_BatchNorm2d_167","NN_BatchNorm2d_167"
"NN_BatchNorm2d_168","NN_BatchNorm2d_168"
"NN_BatchNorm2d_169","NN_BatchNorm2d_169"
"NN_BatchNorm2d_170","NN_BatchNorm2d_170"
"Functional_relu_17","Functional_relu_17"
"","LAYER_features_dense_1_2_conv1"
"NN_Conv2d_162","NN_Conv2d_162"
"NN_Conv2d_163","NN_Conv2d_163"
"NN_Conv2d_164","NN_Conv2d_164"
"NN_Conv2d_165","NN_Conv2d_165"
"NN_Conv2d_166","NN_Conv2d_166"
"NN_Conv2d_167","NN_Conv2d_167"
"NN_Conv2d_168","NN_Conv2d_168"
"NN_Conv2d_169","NN_Conv2d_169"
"NN_Conv2d_170","NN_Conv2d_170"
"","LAYER_features_dense_1_2_bn2"
"NN_BatchNorm2d_171","NN_BatchNorm2d_171"
"NN_BatchNorm2d_172","NN_BatchNorm2d_172"
"NN_BatchNorm2d_173","NN_BatchNorm2d_173"
"NN_BatchNorm2d_174","NN_BatchNorm2d_174"
"NN_BatchNorm2d_175","NN_BatchNorm2d_175"
"NN_BatchNorm2d_176","NN_BatchNorm2d_176"
"NN_BatchNorm2d_177","NN_BatchNorm2d_177"
"NN_BatchNorm2d_178","NN_BatchNorm2d_178"
"NN_BatchNorm2d_179","NN_BatchNorm2d_179"
"Functional_relu_18","Functional_relu_18"
"","LAYER_features_dense_1_2_conv2"
"NN_Conv2d_171","NN_Conv2d_171"
"NN_Conv2d_172","NN_Conv2d_172"
"NN_Conv2d_173","NN_Conv2d_173"
"NN_Conv2d_174","NN_Conv2d_174"
"NN_Conv2d_175","NN_Conv2d_175"
"NN_Conv2d_176","NN_Conv2d_176"
"NN_Conv2d_177","NN_Conv2d_177"
"NN_Conv2d_178","NN_Conv2d_178"
"NN_Conv2d_179","NN_Conv2d_179"
"Functional_concat_8","Torch_cat_8
LAYER_features_dense_1_2
LAYER_features_dense_1_3_bn1"
"NN_BatchNorm2d_180","NN_BatchNorm2d_180"
"NN_BatchNorm2d_181","NN_BatchNorm2d_181"
"NN_BatchNorm2d_182","NN_BatchNorm2d_182"
"NN_BatchNorm2d_183","NN_BatchNorm2d_183"
"NN_BatchNorm2d_184","NN_BatchNorm2d_184"
"NN_BatchNorm2d_185","NN_BatchNorm2d_185"
"NN_BatchNorm2d_186","NN_BatchNorm2d_186"
"NN_BatchNorm2d_187","NN_BatchNorm2d_187"
"NN_BatchNorm2d_188","NN_BatchNorm2d_188"
"Functional_relu_19","Functional_relu_19"
"","LAYER_features_dense_1_3_conv1"
"NN_Conv2d_180","NN_Conv2d_180"
"NN_Conv2d_181","NN_Conv2d_181"
"NN_Conv2d_182","NN_Conv2d_182"
"NN_Conv2d_183","NN_Conv2d_183"
"NN_Conv2d_184","NN_Conv2d_184"
"NN_Conv2d_185","NN_Conv2d_185"
"NN_Conv2d_186","NN_Conv2d_186"
"NN_Conv2d_187","NN_Conv2d_187"
"NN_Conv2d_188","NN_Conv2d_188"
"","LAYER_features_dense_1_3_bn2"
"NN_BatchNorm2d_189","NN_BatchNorm2d_189"
"NN_BatchNorm2d_190","NN_BatchNorm2d_190"
"NN_BatchNorm2d_191","NN_BatchNorm2d_191"
"NN_BatchNorm2d_192","NN_BatchNorm2d_192"
"NN_BatchNorm2d_193","NN_BatchNorm2d_193"
"NN_BatchNorm2d_194","NN_BatchNorm2d_194"
"NN_BatchNorm2d_195","NN_BatchNorm2d_195"
"NN_BatchNorm2d_196","NN_BatchNorm2d_196"
"NN_BatchNorm2d_197","NN_BatchNorm2d_197"
"Functional_relu_20","Functional_relu_20"
"","LAYER_features_dense_1_3_conv2"
"NN_Conv2d_189","NN_Conv2d_189"
"NN_Conv2d_190","NN_Conv2d_190"
"NN_Conv2d_191","NN_Conv2d_191"
"NN_Conv2d_192","NN_Conv2d_192"
"NN_Conv2d_193","NN_Conv2d_193"
"NN_Conv2d_194","NN_Conv2d_194"
"NN_Conv2d_195","NN_Conv2d_195"
"NN_Conv2d_196","NN_Conv2d_196"
"NN_Conv2d_197","NN_Conv2d_197"
"Functional_concat_9","Torch_cat_9
LAYER_features_dense_1_3
LAYER_features_dense_1_4_bn1"
"NN_BatchNorm2d_198","NN_BatchNorm2d_198"
"NN_BatchNorm2d_199","NN_BatchNorm2d_199"
"NN_BatchNorm2d_200","NN_BatchNorm2d_200"
"NN_BatchNorm2d_201","NN_BatchNorm2d_201"
"NN_BatchNorm2d_202","NN_BatchNorm2d_202"
"NN_BatchNorm2d_203","NN_BatchNorm2d_203"
"NN_BatchNorm2d_204","NN_BatchNorm2d_204"
"NN_BatchNorm2d_205","NN_BatchNorm2d_205"
"NN_BatchNorm2d_206","NN_BatchNorm2d_206"
"Functional_relu_21","Functional_relu_21"
"","LAYER_features_dense_1_4_conv1"
"NN_Conv2d_198","NN_Conv2d_198"
"NN_Conv2d_199","NN_Conv2d_199"
"NN_Conv2d_200","NN_Conv2d_200"
"NN_Conv2d_201","NN_Conv2d_201"
"NN_Conv2d_202","NN_Conv2d_202"
"NN_Conv2d_203","NN_Conv2d_203"
"NN_Conv2d_204","NN_Conv2d_204"
"NN_Conv2d_205","NN_Conv2d_205"
"NN_Conv2d_206","NN_Conv2d_206"
"","LAYER_features_dense_1_4_bn2"
"NN_BatchNorm2d_207","NN_BatchNorm2d_207"
"NN_BatchNorm2d_208","NN_BatchNorm2d_208"
"NN_BatchNorm2d_209","NN_BatchNorm2d_209"
"NN_BatchNorm2d_210","NN_BatchNorm2d_210"
"NN_BatchNorm2d_211","NN_BatchNorm2d_211"
"NN_BatchNorm2d_212","NN_BatchNorm2d_212"
"NN_BatchNorm2d_213","NN_BatchNorm2d_213"
"NN_BatchNorm2d_214","NN_BatchNorm2d_214"
"NN_BatchNorm2d_215","NN_BatchNorm2d_215"
